Параметр,Текущее,План/задача,Срок,Статус,Заметки
Название,"Sticker Room: Chinchilla Aparts","Ключи: стикеры, антистресс, дизайн",Нед 1,План,"Уточнить оффер"
Короткое описание,"Есть","Добавить триггеры 'расслабься/уют'",Нед 1,План,"Повышение конверсии"
Полное описание,"Есть","Структурировать: суть → особенности → польза",Нед 1,План,"Упор на 'без стресса'"
Теги,"Гиперказуальная, Детские, Истории, Матчинг","Проверить/добавить релевантные",Нед 1,План,"Из RuStore"
Скриншоты,4,"До 6–8; 2 варианта первого",Нед 2,План,"Первый = главный оффер"
Иконка,Есть,"A/B с большей шиншиллой/контрастом",Нед 3,План,"Влияет на CTR"
Видео,Нет,"Добавить 10–15с геймплей",Нед 3,План,"Может снизить CPI"
Размер APK,70.5 MB,Оптимизировать при возможности,Нед 4,План,Не критично
Рейтинг,"0.0 (мало оценок)","Собрать ≥30 оценок, ≥4.6",Нед 2–4,План,Через сообщество
Ответы на отзывы,Есть,"<48ч на ответ",Постоянно,В работе,Тёплые ответы

